step,tag,value,source
20480,train/approx_kl,0.002112196758389473,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
20480,train/clip_fraction,0.01908365823328495,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
20480,train/clip_range,0.20000000298023224,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
20480,train/entropy_loss,-0.43628066778182983,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
20480,train/explained_variance,0.10100096464157104,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
20480,train/learning_rate,0.0003000000142492354,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
20480,train/loss,49.8348503112793,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
20480,train/policy_gradient_loss,-0.0025305261369794607,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
20480,train/value_loss,119.96976470947266,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
24576,time/fps,54.0,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
24576,train/approx_kl,0.0038148043677210808,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
24576,train/clip_fraction,0.02433268167078495,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
24576,train/clip_range,0.20000000298023224,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
24576,train/entropy_loss,-0.45488953590393066,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
24576,train/explained_variance,0.11554086208343506,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
24576,train/learning_rate,0.0003000000142492354,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
24576,train/loss,47.39755630493164,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
24576,train/policy_gradient_loss,-0.003965387120842934,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
24576,train/value_loss,117.57170104980469,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
28672,time/fps,52.0,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
28672,train/approx_kl,0.004670034162700176,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
28672,train/clip_fraction,0.02303059957921505,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
28672,train/clip_range,0.20000000298023224,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
28672,train/entropy_loss,-0.43132638931274414,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
28672,train/explained_variance,0.209489107131958,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
28672,train/learning_rate,0.0003000000142492354,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
28672,train/loss,56.1329231262207,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
28672,train/policy_gradient_loss,-0.0033718112390488386,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
28672,train/value_loss,109.83866882324219,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
32768,time/fps,53.0,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
32768,train/approx_kl,0.0034221296664327383,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
32768,train/clip_fraction,0.02205403707921505,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
32768,train/clip_range,0.20000000298023224,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
32768,train/entropy_loss,-0.357325941324234,AI-Poker-Agent/runs/leaderboard/tensorboard/maskable_ppo_poker_1/events.out.tfevents.1778103961.13a35300d90a.2967.0
